,global_south_country,region,global_south,gadm_name,geofabrik_name,geofabrik_region,geofabrik_NA,total_gadm_count,missing_gadm_block_count,missing_gadm_block,missing_gadm_bldg_count,pct_gadm_no_bldg,pct_bldg_unmatched,missing_gadm_bldg
0,Afghanistan,Asia & Pacific,Global South,AFG,afghanistan,asia,,328.0,0.0,,0.0,0.25609756097560976,0.11319382034493089,
1,Algeria,Arab States,Global South,DZA,algeria,africa,,1504.0,0.0,,0.0,0.22074468085106383,0.005244934182441828,
2,American Samoa,Asia & Pacific,Global South,ASM,american-samoa,asia,1.0,74.0,74.0,ASM.2.2.2_1; ASM.1.3.4_1; ASM.2.2.1_1; ASM.4.4.4_1; ASM.1.2.5_1; ASM.2.4.1_1; ASM.4.3.1_1; ASM.1.4.7_1; ASM.1.1.1_1; ASM.3.2.1_1; ASM.1.5.5_1; ASM.1.3.5_1; ASM.2.1.1_1; ASM.4.1.7_1; ASM.4.1.8_1; ASM.4.1.10_1; ASM.4.2.2_1; ASM.1.3.3_1; ASM.4.1.13_1; ASM.2.5.1_1; ASM.4.2.1_1; ASM.4.4.3_1; ASM.1.2.9_1; ASM.1.1.3_1; ASM.1.3.1_1; ASM.1.2.8_1; ASM.1.3.2_1; ASM.1.3.6_1; ASM.4.1.4_1; ASM.4.3.3_1; ASM.4.1.14_1; ASM.1.4.10_1; ASM.4.1.9_1; ASM.4.1.12_1; ASM.3.1.1_1; ASM.1.2.3_1; ASM.4.4.8_1; ASM.1.5.4_1; ASM.4.1.11_1; ASM.4.1.3_1; ASM.1.2.2_1; ASM.4.4.6_1; ASM.1.1.2_1; ASM.1.2.6_1; ASM.4.1.1_1; ASM.2.5.2_1; ASM.4.1.5_1; ASM.1.4.11_1; ASM.4.2.3_1; ASM.1.4.2_1; ASM.4.4.5_1; ASM.1.5.2_1; ASM.1.4.1_1; ASM.1.2.7_1; ASM.1.4.6_1; ASM.2.4.2_1; ASM.1.2.4_1; ASM.1.5.3_1; ASM.4.3.4_1; ASM.1.4.9_1; ASM.1.5.1_1; ASM.4.3.2_1; ASM.4.4.1_1; ASM.4.1.2_1; ASM.4.4.2_1; ASM.1.4.5_1; ASM.4.1.6_1; ASM.4.4.7_1; ASM.1.4.4_1; ASM.1.1.4_1; ASM.1.4.3_1; ASM.1.4.8_1; ASM.2.3.1_1; ASM.1.2.1_1,,,,
3,Angola,Africa,Global South,AGO,angola,africa,,527.0,1.0,AGO.18.3.4_1,1.0,0.49809885931558934,0.13310152990264257,AGO.18.3.4_1
4,Anguilla,South/Latin America,Global South,AIA,anguilla,south-america,1.0,1.0,1.0,AIA,,,,
5,Antigua and Barbuda,South/Latin America,Global South,ATG,antigua-and-barbuda,south-america,1.0,8.0,8.0,ATG.2_1; ATG.5_1; ATG.7_1; ATG.1_1; ATG.6_1; ATG.4_1; ATG.3_1; ATG.8_1,,,,
6,Argentina,South/Latin America,Global South,ARG,argentina,south-america,,503.0,0.0,,0.0,0.02186878727634195,0.02016951686543305,
7,Armenia,Europe,Global South,ARM,armenia,asia,,11.0,0.0,,0.0,0.0,0.0009187696993156017,
8,Aruba,South/Latin America,Global South,ABW,aruba,south-america,1.0,1.0,1.0,ABW,,,,
9,Azerbaijan,Asia & Pacific,Global South,AZE,azerbaijan,asia,,79.0,0.0,,0.0,0.012658227848101266,0.017989671811947962,
